20/10/2018,Chelsea,Manchester United,draw,1.75,3.8,5.25
20/10/2018,Huddersfield Town,Liverpool,away,11,5.5,1.33
20/10/2018,Manchester City,Burnley,home,1.08,13,34
20/10/2018,Newcastle United,Brighton and Hove Albion,away,2.2,3.25,3.8
20/10/2018,West Ham United,Tottenham Hotspur,away,4.1,3.9,1.9
20/10/2018,Wolverhampton Wanderers,Watford,away,1.75,3.75,5.25
21/10/2018,Everton,Crystal Palace,home,1.85,3.6,4.75
22/10/2018,Arsenal,Leicester City,home,1.53,4.5,6.5
27/10/2018,Brighton and Hove Albion,Wolverhampton Wanderers,home,3.2,3.2,2.5
27/10/2018,Fulham,Bournemouth,away,2.9,3.75,2.4
27/10/2018,Leicester City,West Ham United,draw,2.1,3.5,3.8
27/10/2018,Liverpool,Cardiff City,home,1.11,11,26
27/10/2018,Southampton,Newcastle United,draw,2.1,3.4,3.9
27/10/2018,Watford,Huddersfield Town,home,1.75,3.75,5.25
28/10/2018,Burnley,Chelsea,away,11,5,1.36
28/10/2018,Crystal Palace,Arsenal,draw,4.75,4.1,1.75
28/10/2018,Manchester United,Everton,home,1.72,3.9,5.25
29/10/2018,Tottenham Hotspur,Manchester City,away,4.75,4.1,1.75
03/11/2018,Arsenal,Liverpool,draw,3.9,3.9,1.95
03/11/2018,Bournemouth,Manchester United,away,3.6,3.7,2.1
03/11/2018,Cardiff City,Leicester City,away,3.8,3.4,2.14
03/11/2018,Everton,Brighton and Hove Albion,home,1.61,4,6.5
03/11/2018,Newcastle United,Watford,home,2.75,3.25,2.8
03/11/2018,West Ham United,Burnley,home,1.75,3.75,5.25
03/11/2018,Wolverhampton Wanderers,Tottenham Hotspur,away,3.1,3.4,2.45
04/11/2018,Chelsea,Crystal Palace,home,1.25,6.75,13
04/11/2018,Manchester City,Southampton,home,1.11,11,29
05/11/2018,Huddersfield Town,Fulham,home,2.3,3.5,3.3
10/11/2018,Cardiff City,Brighton and Hove Albion,home,2.6,3.1,3.1
10/11/2018,Crystal Palace,Tottenham Hotspur,away,4.5,3.75,1.85
10/11/2018,Huddersfield Town,West Ham United,draw,3.4,3.25,2.35
10/11/2018,Leicester City,Burnley,draw,1.5,4.33,8
10/11/2018,Newcastle United,Bournemouth,home,2.9,3.4,2.6
10/11/2018,Southampton,Watford,draw,2.5,3.3,3.1
11/11/2018,Arsenal,Wolverhampton Wanderers,draw,1.66,4.2,5.25
11/11/2018,Chelsea,Everton,draw,1.4,5.25,8.5
11/11/2018,Liverpool,Fulham,home,1.11,11,26
